date,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2024-04-01 00:00:00,1.07934,1.07989,1.07904,1.07915,4024.330078125
2024-04-01 01:00:00,1.07915,1.07948,1.07858,1.07869,4356.89990234375
2024-04-01 02:00:00,1.07869,1.07897,1.07851,1.0788,3901.949951171875
2024-04-01 03:00:00,1.0788,1.07915,1.07849,1.07904,2816.8701171875
2024-04-01 04:00:00,1.07904,1.07913,1.07843,1.07869,1825.8199462890625
2024-04-01 05:00:00,1.07869,1.07874,1.07829,1.07855,1852.1300048828125
2024-04-01 06:00:00,1.07852,1.07906,1.07846,1.07868,3483.330078125
2024-04-01 07:00:00,1.07869,1.07924,1.07832,1.07864,2310.18994140625
2024-04-01 08:00:00,1.07863,1.07918,1.07833,1.079,3911.47998046875
2024-04-01 09:00:00,1.07899,1.07911,1.07859,1.07862,3982.85009765625
2024-04-01 10:00:00,1.07861,1.07869,1.07798,1.07814,4283.9501953125
2024-04-01 11:00:00,1.07815,1.07879,1.07801,1.07842,3145.699951171875
2024-04-01 12:00:00,1.07842,1.07859,1.07773,1.0782,8481.8896484375
2024-04-01 13:00:00,1.07819,1.07832,1.07719,1.07741,12634.48046875
2024-04-01 14:00:00,1.0774,1.0774,1.07396,1.07445,29009.390625
2024-04-01 15:00:00,1.07445,1.07456,1.07311,1.07329,9001.7001953125
2024-04-01 16:00:00,1.07329,1.07371,1.07313,1.07366,8042.75
2024-04-01 17:00:00,1.07367,1.07442,1.07367,1.07419,4260.27001953125
2024-04-01 18:00:00,1.07419,1.07428,1.0737,1.07377,4777.75
2024-04-01 19:00:00,1.07378,1.07428,1.07376,1.07419,9511.8095703125
2024-04-01 20:00:00,1.0742,1.07438,1.07416,1.07437,3303.840087890625
2024-04-01 21:00:00,1.07441,1.07452,1.07398,1.07444,3123.659912109375
2024-04-01 22:00:00,1.07441,1.07443,1.07402,1.07402,1536.43994140625
2024-04-01 23:00:00,1.074,1.074,1.07359,1.07374,2975.14990234375
2024-04-02 00:00:00,1.07372,1.0739,1.07311,1.07373,9062.4697265625
2024-04-02 01:00:00,1.07373,1.07383,1.07304,1.07342,9972.2802734375
2024-04-02 02:00:00,1.07341,1.07355,1.07297,1.0735,6366.72998046875
2024-04-02 03:00:00,1.0735,1.07364,1.07299,1.07302,3763.010009765625
2024-04-02 04:00:00,1.07303,1.07342,1.07295,1.07334,2330.739990234375
2024-04-02 05:00:00,1.07332,1.07351,1.0726,1.07268,4028.280029296875
2024-04-02 06:00:00,1.07268,1.07322,1.07248,1.0729,11143.599609375
2024-04-02 07:00:00,1.07289,1.0743,1.07262,1.07423,14101.5302734375
