date,BID_open,BID_high,BID_low,BID_close,BID_volume_millions
2024-04-01 00:00:00,0.59857,0.59922,0.59855,0.59896,3299.10009765625
2024-04-01 01:00:00,0.59896,0.59921,0.59831,0.59839,2116.199951171875
2024-04-01 02:00:00,0.59839,0.59849,0.59812,0.59835,2690.139892578125
2024-04-01 03:00:00,0.59836,0.59837,0.5977,0.5983,1884.75
2024-04-01 04:00:00,0.59832,0.5984,0.59777,0.59802,873.0
2024-04-01 05:00:00,0.59803,0.59805,0.59731,0.5977,1228.0999755859375
2024-04-01 06:00:00,0.59769,0.59811,0.59738,0.59788,1912.949951171875
2024-04-01 07:00:00,0.5979,0.59846,0.59779,0.59819,1932.75
2024-04-01 08:00:00,0.59819,0.59836,0.59806,0.59823,1496.699951171875
2024-04-01 09:00:00,0.59822,0.59835,0.59799,0.59802,1614.6500244140625
2024-04-01 10:00:00,0.59802,0.59804,0.59748,0.59769,1975.1099853515625
2024-04-01 11:00:00,0.59768,0.59775,0.59745,0.59749,1895.4000244140625
2024-04-01 12:00:00,0.5975,0.59754,0.59638,0.597,2564.64990234375
2024-04-01 13:00:00,0.59699,0.59714,0.59609,0.59625,3802.419921875
2024-04-01 14:00:00,0.59623,0.59626,0.5947,0.59499,5894.81982421875
2024-04-01 15:00:00,0.59499,0.59509,0.59394,0.5941,3391.929931640625
2024-04-01 16:00:00,0.59411,0.59447,0.59392,0.59426,1168.949951171875
2024-04-01 17:00:00,0.59425,0.59461,0.59422,0.59458,793.2000122070312
2024-04-01 18:00:00,0.59459,0.59468,0.59441,0.59458,1853.8299560546875
2024-04-01 19:00:00,0.5946,0.59501,0.5946,0.59498,1823.6199951171875
2024-04-01 20:00:00,0.59499,0.59528,0.5949,0.59527,661.1199951171875
2024-04-01 21:00:00,0.59528,0.59545,0.59502,0.59537,556.5700073242188
2024-04-01 22:00:00,0.59528,0.59542,0.59495,0.59495,1031.1300048828125
2024-04-01 23:00:00,0.59494,0.59536,0.59476,0.5951,1244.8499755859375
