date,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2024-04-01 00:00:00,0.59867,0.59934,0.59865,0.59905,4122.419921875
2024-04-01 01:00:00,0.59906,0.59933,0.59842,0.5985,2528.679931640625
2024-04-01 02:00:00,0.59849,0.59859,0.59822,0.59846,1675.5
2024-04-01 03:00:00,0.59846,0.59846,0.59779,0.59841,1547.4000244140625
2024-04-01 04:00:00,0.59844,0.59851,0.59788,0.59814,656.8499755859375
2024-04-01 05:00:00,0.59814,0.59815,0.59744,0.59781,936.2999877929688
2024-04-01 06:00:00,0.5978,0.59821,0.59749,0.59802,2299.60009765625
2024-04-01 07:00:00,0.59803,0.59859,0.59791,0.59833,3109.60009765625
2024-04-01 08:00:00,0.59832,0.59849,0.59817,0.59835,2080.0
2024-04-01 09:00:00,0.59835,0.59846,0.5981,0.59812,1338.1500244140625
2024-04-01 10:00:00,0.59811,0.59814,0.5976,0.59779,1512.449951171875
2024-04-01 11:00:00,0.59779,0.59785,0.59755,0.59759,1259.8499755859375
2024-04-01 12:00:00,0.59759,0.59764,0.59649,0.59711,2739.840087890625
2024-04-01 13:00:00,0.5971,0.59725,0.59619,0.59641,3617.39990234375
2024-04-01 14:00:00,0.59638,0.59645,0.59479,0.59509,6198.68994140625
2024-04-01 15:00:00,0.5951,0.5952,0.59402,0.59421,2370.75
2024-04-01 16:00:00,0.59422,0.59458,0.59401,0.59436,1596.969970703125
2024-04-01 17:00:00,0.59436,0.59472,0.59431,0.59471,922.6599731445312
2024-04-01 18:00:00,0.59472,0.59479,0.59452,0.5947,1805.7099609375
2024-04-01 19:00:00,0.59469,0.59512,0.59469,0.59509,1794.1700439453125
2024-04-01 20:00:00,0.59509,0.59544,0.59502,0.59543,1069.6099853515625
2024-04-01 21:00:00,0.59547,0.59576,0.59533,0.59556,554.0399780273438
2024-04-01 22:00:00,0.59547,0.59558,0.59508,0.59512,1100.68994140625
2024-04-01 23:00:00,0.59512,0.59546,0.5949,0.59526,1024.3900146484375
2024-04-02 00:00:00,0.59526,0.59537,0.59478,0.59503,2194.469970703125
2024-04-02 01:00:00,0.59504,0.59555,0.59445,0.5954,3357.52001953125
2024-04-02 02:00:00,0.59541,0.59546,0.59476,0.59522,2076.300048828125
2024-04-02 03:00:00,0.59523,0.59536,0.5947,0.5947,1366.800048828125
2024-04-02 04:00:00,0.5947,0.59483,0.59444,0.59469,1252.6500244140625
2024-04-02 05:00:00,0.59469,0.59494,0.5944,0.59455,1618.8399658203125
2024-04-02 06:00:00,0.59455,0.5951,0.59441,0.59488,3625.699951171875
2024-04-02 07:00:00,0.59487,0.59531,0.59459,0.59516,3642.75
2024-04-02 08:00:00,0.59516,0.59584,0.59501,0.59563,3990.530029296875
2024-04-02 09:00:00,0.59563,0.59605,0.59558,0.59593,4058.39990234375
2024-04-02 10:00:00,0.59592,0.59599,0.59556,0.59587,2583.89990234375
