date,tx_open,tx_high,tx_low,tx_close,tx_volume,tx_vwap,tx_transactions,bid_open,bid_high,bid_low,bid_close,bid_volume_mil,ask_open,ask_high,ask_low,ask_close,ask_volume_mil
2024-04-28 21:00:00,18.7495,18.7695,18.7108,18.7607,72.0,18.7557,72,18.7558,18.77036,18.7558,18.75581,178.35000610351562,18.8481,18.8481,18.80462,18.84809,161.25
2024-04-28 22:00:00,18.7894,18.7894,18.78347,18.7873,8.0,18.7868,8,18.75581,18.80114,18.7558,18.7892,429.1199951171875,18.82323,18.84478,18.81183,18.82524,383.3999938964844
2024-04-28 23:00:00,18.78568,18.80952,18.78568,18.7956,1039.0,18.8003,1039,18.78974,18.81299,18.78974,18.8057,1498.5,18.82226,18.82226,18.81413,18.81505,1308.6300048828125
2024-04-29 00:00:00,18.80558,18.81941,18.7883,18.81337,1741.0,18.8025,1741,18.80609,18.81725,18.79888,18.81467,939.8699951171876,18.81505,18.82831,18.80842,18.82318,800.6400146484375
2024-04-29 01:00:00,18.8033,18.82376,18.56,18.7425,5224.0,18.7602,5224,18.81455,18.82394,18.78172,18.78334,4050.090087890625,18.82318,18.83327,18.79004,18.79175,4081.139892578125
2024-04-29 02:00:00,18.742,18.79258,18.7205,18.7617,2809.0,18.7619,2809,18.78334,18.79269,18.76077,18.78112,1068.8399658203125,18.79146,18.80129,18.76942,18.78968,1332.989990234375
2024-04-29 03:00:00,18.7623,18.78445,18.7248,18.7668,1961.0,18.7629,1961,18.7818,18.78427,18.7717,18.7805,744.2100219726562,18.78968,18.79341,18.78034,18.789,694.7999877929688
2024-04-29 04:00:00,18.7508,18.79642,18.5081,18.7323,6788.0,18.6602,6788,18.77865,18.79785,18.72558,18.74418,4553.7099609375,18.78929,18.80682,18.73286,18.75169,5098.14013671875
2024-04-29 05:00:00,18.7321,18.77594,18.6976,18.76204,7247.0,18.7358,7247,18.74418,18.77748,18.71446,18.76445,6118.740234375,18.75163,18.78569,18.71839,18.77104,6228.990234375
2024-04-29 06:00:00,18.7633,18.7931,18.7311,18.7811,6991.0,18.7658,6991,18.76478,18.79262,18.74326,18.78286,5114.25,18.77095,18.79905,18.74972,18.78836,4979.2900390625
2024-04-29 07:00:00,18.7813,18.7859,18.7225,18.77653,7820.0,18.758,7820,18.78307,18.78637,18.73355,18.77824,5851.990234375,18.78835,18.79146,18.73863,18.78342,5660.89013671875
2024-04-29 08:00:00,18.7753,18.8032,18.7549,18.7589,7264.0,18.7839,7264,18.77873,18.80173,18.76487,18.77026,5178.259765625,18.78343,18.80797,18.77002,18.77602,5896.25
2024-04-29 09:00:00,18.769,18.7789,18.72834,18.7491,5381.0,18.7597,5381,18.76884,18.77783,18.74305,18.75947,2545.429931640625,18.77602,18.783,18.74912,18.76556,3186.159912109375
2024-04-29 10:00:00,18.75942,18.76611,18.7282,18.7392,5881.0,18.7509,5881,18.75987,18.76714,18.73846,18.74165,3977.919921875,18.76518,18.7732,18.74386,18.74628,5068.97998046875
2024-04-29 11:00:00,18.74025,18.7533,18.6841,18.6989,6099.0,18.7165,6099,18.74112,18.75251,18.69401,18.70022,3758.39990234375,18.74628,18.75825,18.69933,18.70553,4248.10986328125
2024-04-29 12:00:00,18.6991,18.7228,18.6717,18.70948,6098.0,18.7,6098,18.70023,18.72172,18.67747,18.71015,3842.3798828125,18.70599,18.72724,18.68414,18.7151,4610.39013671875
2024-04-29 13:00:00,18.7121,18.7253,18.6708,18.7,6154.0,18.6978,6154,18.71021,18.72408,18.67994,18.69841,4419.1201171875,18.71556,18.73003,18.68487,18.70374,3673.199951171875
2024-04-29 14:00:00,18.6999,18.7011,18.6215,18.6335,7060.0,18.6765,7060,18.69869,18.69984,18.63358,18.63384,5692.7099609375,18.70401,18.70618,18.63892,18.63902,4991.47021484375
2024-04-29 15:00:00,18.63215,18.65872,18.6172,18.63194,6966.0,18.6401,6966,18.63351,18.65942,18.62874,18.63254,4595.43017578125,18.63868,18.66565,18.63479,18.63711,5317.08984375
2024-04-29 16:00:00,18.6281,18.63235,18.6041,18.6103,8112.0,18.6206,8112,18.63254,18.63347,18.61576,18.62249,8524.7998046875,18.63869,18.64026,18.62102,18.62901,9050.669921875
2024-04-29 17:00:00,18.6212,18.63798,18.6026,18.625,8535.0,18.6215,8535,18.62218,18.63815,18.62,18.63374,7674.5498046875,18.62901,18.64505,18.62683,18.63923,7337.669921875
2024-04-29 18:00:00,18.6252,18.64174,18.5957,18.63199,7454.0,18.6159,7454,18.63379,18.64339,18.61713,18.63276,5906.02001953125,18.63973,18.64896,18.62456,18.63904,6184.6201171875
2024-04-29 19:00:00,18.6248,18.65623,18.6097,18.63022,5555.0,18.6321,5555,18.6331,18.65724,18.62864,18.63254,3961.64990234375,18.63904,18.66349,18.63472,18.63943,3991.10009765625
2024-04-29 20:00:00,18.6207,18.63395,18.6083,18.6121,1657.0,18.6206,1657,18.63273,18.63474,18.61122,18.61469,409.4100036621094,18.63943,18.65459,18.62948,18.65365,437.8500061035156
2024-04-29 21:00:00,18.6185,18.68195,18.565,18.5726,2309.0,18.611,2309,18.61471,18.63642,18.59435,18.62893,1458.9599609375,18.64755,18.70107,18.64755,18.67067,1816.0799560546875
2024-04-29 22:00:00,18.59815,18.6415,18.5641,18.6312,1830.0,18.6144,1830,18.62972,18.63327,18.57692,18.62934,1692.9000244140625,18.67148,18.68852,18.65182,18.67108,1697.4000244140625
