date,open,high,low,close,volume,vwap,transactions,BID_open,BID_high,BID_low,BID_close,BID_volume_millions,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2024-04-28 21:00:00,157.795,157.957,157.795,157.896,11.0,157.8879,11,157.806,157.972,157.703,157.891,824.8200073242188,157.941,158.034,157.862,157.948,1002.5700073242188
2024-04-28 22:00:00,158.328,158.335,158.205,158.222,568.0,158.275,568,157.897,158.431,157.897,158.223,10444.1103515625,157.952,158.441,157.952,158.23,12332.7900390625
2024-04-28 23:00:00,158.223,158.332,158.186,158.193,2595.0,158.2416,2595,158.224,158.335,158.19,158.2,6097.81982421875,158.23,158.343,158.197,158.206,11556.8095703125
2024-04-29 00:00:00,158.195,158.303,158.045,158.183,5056.0,158.1527,5056,158.201,158.302,158.048,158.192,8333.73046875,158.204,158.308,158.056,158.197,13144.66015625
2024-04-29 01:00:00,158.187,160.185,158.185,159.165,10033.0,158.9385,10033,158.191,160.203,158.191,159.164,20483.490234375,158.197,160.241,158.195,159.176,33162.62109375
2024-04-29 02:00:00,159.166,159.475,159.081,159.364,8424.0,159.2752,8424,159.167,159.472,159.086,159.369,12969.5302734375,159.178,159.487,159.097,159.382,14965.009765625
2024-04-29 03:00:00,159.363,159.451,159.293,159.397,4722.0,159.3495,4722,159.369,159.457,159.303,159.396,6396.6201171875,159.381,159.466,159.309,159.405,7524.75
2024-04-29 04:00:00,159.395,159.594,155.197,156.286,11900.0,156.9158,11900,159.396,159.594,155.187,156.292,50668.0,159.404,159.602,155.214,156.317,62044.26171875
2024-04-29 05:00:00,156.301,156.937,155.035,156.809,11847.0,156.1187,11847,156.303,156.938,155.043,156.792,36238.58984375,156.318,156.946,155.053,156.801,44705.19921875
2024-04-29 06:00:00,156.796,157.228,156.663,157.03,10213.0,156.9629,10213,156.792,157.233,156.67,157.034,27191.91015625,156.803,157.243,156.682,157.038,29342.060546875
2024-04-29 07:00:00,157.027,157.179,154.515,155.573,15660.0,155.5162,15660,157.029,157.184,154.523,155.561,71302.359375,157.038,157.193,154.535,155.574,75383.7265625
