date,open,high,low,close,volume,vwap,transactions,BID_open,BID_high,BID_low,BID_close,BID_volume_millions,ASK_open,ASK_high,ASK_low,ASK_close,ASK_volume_millions
2024-04-28 21:00:00,32.41414,32.53115,32.38992,32.50602,188.0,32.4759,188,32.49129,32.49129,32.49129,32.49129,0.0,32.51301,32.51301,32.51301,32.51301,0.0
2024-04-28 22:00:00,32.49592,32.49917,32.48104,32.49592,41.0,32.4952,41,32.49129,32.49129,32.49129,32.49129,0.0,32.51301,32.51301,32.51301,32.51301,0.0
2024-04-28 23:00:00,32.4954,32.541,32.48954,32.50233,252.0,32.531,252,32.49129,32.49129,32.49129,32.49129,0.0,32.51301,32.51301,32.51301,32.51301,0.0
2024-04-29 00:00:00,32.5288,32.5316,32.4842,32.492,952.0,32.5067,952,32.49699,32.49952,32.49699,32.49729,23.65999984741211,32.54541,32.54716,32.54518,32.54549,64.80000305175781
2024-04-29 01:00:00,32.5208,32.5244,32.48486,32.5205,1780.0,32.5051,1780,32.49706,32.50787,32.49699,32.5019,2143.93994140625,32.54044,32.55301,32.54041,32.55128,1957.5999755859373
2024-04-29 02:00:00,32.5206,32.5226,32.48809,32.5212,991.0,32.5103,991,32.50044,32.50464,32.49984,32.50368,714.02001953125,32.54923,32.55301,32.54899,32.5491,744.1799926757812
2024-04-29 03:00:00,32.50561,32.5226,32.49362,32.5221,747.0,32.5152,747,32.50368,32.50443,32.50331,32.50434,13.420000076293944,32.54893,32.55301,32.5479,32.54969,3.723999977111816
2024-04-29 04:00:00,32.50429,32.5301,32.47484,32.5168,1500.0,32.502,1500,32.50433,32.50433,32.50433,32.50433,1.100000023841858,32.55269,32.55301,32.55131,32.55301,9.899999618530272
2024-04-29 05:00:00,32.48787,32.5175,31.78848,32.4239,1423.0,32.3868,1423,32.48748,32.49498,32.47543,32.47543,53.08000183105469,32.53601,32.53601,32.49421,32.51301,84.5999984741211
2024-04-29 06:00:00,32.3721,32.475,32.37174,32.4665,2415.0,32.4507,2415,32.43749,32.47117,32.40302,32.46713,8458.9697265625,32.45301,32.50171,32.44606,32.47313,12187.1376953125
2024-04-29 07:00:00,32.4662,32.46947,32.32015,32.4025,2343.0,32.4138,2343,32.46713,32.46714,32.31599,32.40499,6289.43994140625,32.47334,32.47502,32.37342,32.41361,6157.92578125
2024-04-29 08:00:00,32.40695,32.41482,32.3388,32.3515,2169.0,32.3884,2169,32.40499,32.41341,32.34742,32.35663,5695.2998046875,32.41378,32.41991,32.35447,32.36315,5858.2119140625
2024-04-29 09:00:00,32.3493,32.4046,32.3463,32.385,1885.0,32.3811,1885,32.35687,32.40248,32.3565,32.38411,5698.91015625,32.36338,32.41077,32.36243,32.39215,6165.2080078125
2024-04-29 10:00:00,32.3852,32.4064,32.3469,32.3542,1635.0,32.3792,1635,32.38505,32.40003,32.35249,32.35249,3236.110107421875,32.39215,32.41756,32.36221,32.36696,3319.35205078125
2024-04-29 11:00:00,32.3618,32.38088,32.2463,32.37706,2469.0,32.3309,2469,32.35252,32.38186,32.24721,32.37482,11595.0302734375,32.36696,32.39451,32.26328,32.38256,11377.73828125
2024-04-29 12:00:00,32.3747,32.385,32.3639,32.37786,1520.0,32.3768,1520,32.37449,32.38249,32.36821,32.3755,1338.1199951171875,32.38236,32.39011,32.37585,32.38165,1220.5400390625
2024-04-29 13:00:00,32.3743,32.37951,32.364,32.374,1116.0,32.3759,1116,32.3755,32.37706,32.37197,32.37675,454.010009765625,32.38244,32.38496,32.37938,32.38287,491.8900146484375
2024-04-29 14:00:00,32.37944,32.4004,32.3427,32.38079,1559.0,32.3736,1559,32.37699,32.40373,32.34701,32.38093,1683.780029296875,32.38287,32.42547,32.35589,32.40217,2278.60205078125
2024-04-29 15:00:00,32.38078,32.47,32.3617,32.37971,1396.0,32.3888,1396,32.38094,32.40135,32.36685,32.37989,2617.169921875,32.40218,32.40951,32.3846,32.38691,3806.464111328125
2024-04-29 16:00:00,32.37874,32.38174,32.35993,32.36068,1228.0,32.3674,1228,32.37989,32.37989,32.36072,32.36378,2172.969970703125,32.3886,32.3886,32.38003,32.3836,2138.39990234375
2024-04-29 17:00:00,32.36044,32.5021,32.31952,32.37703,1088.0,32.3851,1088,32.36377,32.44512,32.35949,32.40505,5361.52001953125,32.3836,32.55899,32.3766,32.46806,2778.093994140625
2024-04-29 18:00:00,32.37491,32.4455,32.37283,32.4376,821.0,32.4053,821,32.3991,32.41372,32.3811,32.41372,2274.1298828125,32.41701,32.45928,32.4071,32.45853,1356.300048828125
2024-04-29 19:00:00,32.4377,32.5153,32.36965,32.4369,684.0,32.4636,684,32.39012,32.39218,32.38644,32.39218,15.470000267028809,32.43611,32.43611,32.43303,32.4358,37.79999923706055
2024-04-29 20:00:00,32.4373,32.5196,32.3526,32.4894,719.0,32.4811,719,32.39218,32.39218,32.39218,32.39218,0.0,32.4358,32.4358,32.4358,32.4358,0.0
