date,open,high,low,close,volume,vwap,transactions
2024-04-28 21:00:00,157.795,157.957,157.795,157.896,11.0,157.8879,11
2024-04-28 22:00:00,158.328,158.335,158.205,158.222,568.0,158.275,568
2024-04-28 23:00:00,158.223,158.332,158.186,158.193,2595.0,158.2416,2595
2024-04-29 00:00:00,158.195,158.303,158.045,158.183,5056.0,158.1527,5056
2024-04-29 01:00:00,158.187,160.185,158.185,159.165,10033.0,158.9385,10033
2024-04-29 02:00:00,159.166,159.475,159.081,159.364,8424.0,159.2752,8424
2024-04-29 03:00:00,159.363,159.451,159.293,159.397,4722.0,159.3495,4722
2024-04-29 04:00:00,159.395,159.594,155.197,156.286,11900.0,156.9158,11900
2024-04-29 05:00:00,156.301,156.937,155.035,156.809,11847.0,156.1187,11847
2024-04-29 06:00:00,156.796,157.228,156.663,157.03,10213.0,156.9629,10213
2024-04-29 07:00:00,157.027,157.179,154.515,155.573,15660.0,155.5162,15660
2024-04-29 08:00:00,155.557,155.944,155.027,155.882,10276.0,155.7254,10276
2024-04-29 09:00:00,155.871,155.959,155.45,155.733,8258.0,155.8025,8258
2024-04-29 10:00:00,155.732,155.944,155.45,155.882,6272.0,155.8186,6272
2024-04-29 11:00:00,155.882,156.379,155.823,156.225,6858.0,156.0677,6858
2024-04-29 12:00:00,156.216,156.503,156.084,156.411,8475.0,156.3702,8475
2024-04-29 13:00:00,156.411,156.727,156.308,156.69,8159.0,156.5002,8159
2024-04-29 14:00:00,156.698,156.891,156.653,156.678,8766.0,156.7728,8766
2024-04-29 15:00:00,156.679,156.748,156.572,156.711,7284.0,156.674,7284
2024-04-29 16:00:00,156.713,156.733,155.065,155.849,8211.0,156.1591,8211
2024-04-29 17:00:00,155.832,156.169,155.745,156.091,6254.0,155.9883,6254
2024-04-29 18:00:00,156.097,156.098,155.577,155.806,7707.0,155.9939,7707
2024-04-29 19:00:00,155.813,156.092,155.806,156.032,5651.0,155.9825,5651
2024-04-29 20:00:00,156.026,156.36,156.003,156.335,3880.0,156.1829,3880
2024-04-29 21:00:00,156.335,156.335,156.13,156.296,1195.0,156.2667,1195
2024-04-29 22:00:00,156.313,156.313,156.056,156.263,3899.0,156.2137,3899
