date,open,high,low,close,volume,vwap,transactions
2024-04-28 21:00:00,32.41414,32.53115,32.38992,32.50602,188.0,32.4759,188
2024-04-28 22:00:00,32.49592,32.49917,32.48104,32.49592,41.0,32.4952,41
2024-04-28 23:00:00,32.4954,32.541,32.48954,32.50233,252.0,32.531,252
2024-04-29 00:00:00,32.5288,32.5316,32.4842,32.492,952.0,32.5067,952
2024-04-29 01:00:00,32.5208,32.5244,32.48486,32.5205,1780.0,32.5051,1780
2024-04-29 02:00:00,32.5206,32.5226,32.48809,32.5212,991.0,32.5103,991
2024-04-29 03:00:00,32.50561,32.5226,32.49362,32.5221,747.0,32.5152,747
2024-04-29 04:00:00,32.50429,32.5301,32.47484,32.5168,1500.0,32.502,1500
2024-04-29 05:00:00,32.48787,32.5175,31.78848,32.4239,1423.0,32.3868,1423
2024-04-29 06:00:00,32.3721,32.475,32.37174,32.4665,2415.0,32.4507,2415
2024-04-29 07:00:00,32.4662,32.46947,32.32015,32.4025,2343.0,32.4138,2343
2024-04-29 08:00:00,32.40695,32.41482,32.3388,32.3515,2169.0,32.3884,2169
2024-04-29 09:00:00,32.3493,32.4046,32.3463,32.385,1885.0,32.3811,1885
2024-04-29 10:00:00,32.3852,32.4064,32.3469,32.3542,1635.0,32.3792,1635
2024-04-29 11:00:00,32.3618,32.38088,32.2463,32.37706,2469.0,32.3309,2469
2024-04-29 12:00:00,32.3747,32.385,32.3639,32.37786,1520.0,32.3768,1520
2024-04-29 13:00:00,32.3743,32.37951,32.364,32.374,1116.0,32.3759,1116
2024-04-29 14:00:00,32.37944,32.4004,32.3427,32.38079,1559.0,32.3736,1559
2024-04-29 15:00:00,32.38078,32.47,32.3617,32.37971,1396.0,32.3888,1396
2024-04-29 16:00:00,32.37874,32.38174,32.35993,32.36068,1228.0,32.3674,1228
2024-04-29 17:00:00,32.36044,32.5021,32.31952,32.37703,1088.0,32.3851,1088
2024-04-29 18:00:00,32.37491,32.4455,32.37283,32.4376,821.0,32.4053,821
2024-04-29 19:00:00,32.4377,32.5153,32.36965,32.4369,684.0,32.4636,684
2024-04-29 20:00:00,32.4373,32.5196,32.3526,32.4894,719.0,32.4811,719
2024-04-29 21:00:00,32.4894,32.5167,32.33615,32.4869,320.0,32.4666,320
2024-04-29 22:00:00,32.36592,32.4927,32.32101,32.4376,462.0,32.4432,462
2024-04-29 23:00:00,32.38426,32.4425,32.36351,32.4351,754.0,32.4225,754
2024-04-30 00:00:00,32.36951,32.4398,32.36156,32.4289,757.0,32.4265,757
