date,open,high,low,close,volume,vwap,transactions
2024-04-28 21:00:00,18.7495,18.7695,18.7108,18.7607,72.0,18.7557,72
2024-04-28 22:00:00,18.7894,18.7894,18.78347,18.7873,8.0,18.7868,8
2024-04-28 23:00:00,18.78568,18.80952,18.78568,18.7956,1039.0,18.8003,1039
2024-04-29 00:00:00,18.80558,18.81941,18.7883,18.81337,1741.0,18.8025,1741
2024-04-29 01:00:00,18.8033,18.82376,18.56,18.7425,5224.0,18.7602,5224
2024-04-29 02:00:00,18.742,18.79258,18.7205,18.7617,2809.0,18.7619,2809
2024-04-29 03:00:00,18.7623,18.78445,18.7248,18.7668,1961.0,18.7629,1961
2024-04-29 04:00:00,18.7508,18.79642,18.5081,18.7323,6788.0,18.6602,6788
2024-04-29 05:00:00,18.7321,18.77594,18.6976,18.76204,7247.0,18.7358,7247
2024-04-29 06:00:00,18.7633,18.7931,18.7311,18.7811,6991.0,18.7658,6991
2024-04-29 07:00:00,18.7813,18.7859,18.7225,18.77653,7820.0,18.758,7820
2024-04-29 08:00:00,18.7753,18.8032,18.7549,18.7589,7264.0,18.7839,7264
2024-04-29 09:00:00,18.769,18.7789,18.72834,18.7491,5381.0,18.7597,5381
2024-04-29 10:00:00,18.75942,18.76611,18.7282,18.7392,5881.0,18.7509,5881
2024-04-29 11:00:00,18.74025,18.7533,18.6841,18.6989,6099.0,18.7165,6099
2024-04-29 12:00:00,18.6991,18.7228,18.6717,18.70948,6098.0,18.7,6098
2024-04-29 13:00:00,18.7121,18.7253,18.6708,18.7,6154.0,18.6978,6154
2024-04-29 14:00:00,18.6999,18.7011,18.6215,18.6335,7060.0,18.6765,7060
2024-04-29 15:00:00,18.63215,18.65872,18.6172,18.63194,6966.0,18.6401,6966
2024-04-29 16:00:00,18.6281,18.63235,18.6041,18.6103,8112.0,18.6206,8112
2024-04-29 17:00:00,18.6212,18.63798,18.6026,18.625,8535.0,18.6215,8535
2024-04-29 18:00:00,18.6252,18.64174,18.5957,18.63199,7454.0,18.6159,7454
2024-04-29 19:00:00,18.6248,18.65623,18.6097,18.63022,5555.0,18.6321,5555
2024-04-29 20:00:00,18.6207,18.63395,18.6083,18.6121,1657.0,18.6206,1657
2024-04-29 21:00:00,18.6185,18.68195,18.565,18.5726,2309.0,18.611,2309
2024-04-29 22:00:00,18.59815,18.6415,18.5641,18.6312,1830.0,18.6144,1830
2024-04-29 23:00:00,18.5918,18.64084,18.5918,18.625,1720.0,18.6267,1720
2024-04-30 00:00:00,18.6045,18.64307,18.5639,18.6313,1885.0,18.6273,1885
2024-04-30 01:00:00,18.6313,18.68246,18.6209,18.673,2618.0,18.6485,2618
2024-04-30 02:00:00,18.6752,18.68855,18.6499,18.6522,2773.0,18.6714,2773
